Step 0:    (2022-05-08 19:08:00.686273)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
Step 1:    (2022-05-08 19:09:19.660860)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    30.302097572757106 examples per second
Step 2:    (2022-05-08 19:10:45.522408)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    58.78837798844304 examples per second
Step 3:    (2022-05-08 19:12:13.784864)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.19317563229356 examples per second
Step 4:    (2022-05-08 19:13:42.306889)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.02928097582166 examples per second
Step 5:    (2022-05-08 19:15:10.294023)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.375657406243825 examples per second
Step 6:    (2022-05-08 19:16:37.619622)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.80914250624827 examples per second
Step 7:    (2022-05-08 19:18:05.215653)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.63067607405804 examples per second
Step 8:    (2022-05-08 19:19:32.800126)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.638820978976085 examples per second
Step 9:    (2022-05-08 19:21:00.700876)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.42915248892958 examples per second
Step 10:    (2022-05-08 19:22:28.766329)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.325714487797285 examples per second
Step 11:    (2022-05-08 19:23:55.596072)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    58.14335581594902 examples per second
Step 12:    (2022-05-08 19:25:22.655053)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.988141226794546 examples per second
Step 13:    (2022-05-08 19:26:49.902488)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.85804454981257 examples per second
Step 14:    (2022-05-08 19:28:17.996170)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.300759890954296 examples per second
Step 15:    (2022-05-08 19:29:45.972280)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.377733114470466 examples per second
Step 16:    (2022-05-08 19:31:14.379125)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.10284923877264 examples per second
Step 17:    (2022-05-08 19:32:42.115260)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.5413071998996 examples per second
Step 18:    (2022-05-08 19:34:09.976231)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.464088110069255 examples per second
Step 19:    (2022-05-08 19:35:38.039661)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.322387657638814 examples per second
Step 20:    (2022-05-08 19:37:07.007076)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    56.74139065613648 examples per second
Step 21:    (2022-05-08 19:38:34.531855)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.679510554454396 examples per second
Step 22:    (2022-05-08 19:40:02.695873)
    training nat accuracy 16.0%
    training adv accuracy 20.0%
    57.258864733114606 examples per second
Step 23:    (2022-05-08 19:41:30.162657)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.7215761944391 examples per second
Step 24:    (2022-05-08 19:42:58.092438)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.411510309886644 examples per second
Step 25:    (2022-05-08 19:44:25.656732)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.6521391397266 examples per second
Step 26:    (2022-05-08 19:45:52.963768)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.821118746845244 examples per second
Step 27:    (2022-05-08 19:47:21.384989)
    training nat accuracy 16.0%
    training adv accuracy 0.0%
    57.091079426944134 examples per second
Step 28:    (2022-05-08 19:48:48.869177)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.70849104364583 examples per second
Step 29:    (2022-05-08 19:50:16.452194)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.641187970428724 examples per second
Step 30:    (2022-05-08 19:51:44.753137)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.16644377542096 examples per second
Step 31:    (2022-05-08 19:53:12.347577)
    training nat accuracy 16.0%
    training adv accuracy 2.0%
    57.63417988184952 examples per second
Step 32:    (2022-05-08 19:54:40.155693)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.494292593780955 examples per second
Step 33:    (2022-05-08 19:56:07.271158)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.95103704357259 examples per second
Step 34:    (2022-05-08 19:57:34.731156)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.72291442541481 examples per second
Step 35:    (2022-05-08 19:59:02.131323)
    training nat accuracy 16.0%
    training adv accuracy 2.0%
    57.763059233967276 examples per second
Step 36:    (2022-05-08 20:00:30.261046)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.280859273817306 examples per second
Step 37:    (2022-05-08 20:01:57.788423)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.67748059939834 examples per second
Step 38:    (2022-05-08 20:03:25.587823)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.49923207261028 examples per second
Step 39:    (2022-05-08 20:04:53.479888)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.4373634535088 examples per second
