Step 0:    (2022-05-15 18:38:39.163027)
    training nat accuracy 16.0%
    training adv accuracy 0.0%
Step 100:    (2022-05-15 18:41:37.117886)
    training nat accuracy 58.0%
    training adv accuracy 0.0%
    28.021355237293495 examples per second
Step 200:    (2022-05-15 18:43:35.364864)
    training nat accuracy 70.0%
    training adv accuracy 0.0%
    42.29611245099839 examples per second
Step 300:    (2022-05-15 18:45:16.814300)
    training nat accuracy 82.0%
    training adv accuracy 0.0%
    49.29927088632745 examples per second
Step 400:    (2022-05-15 18:47:57.160764)
    training nat accuracy 74.0%
    training adv accuracy 0.0%
    31.20420576592523 examples per second
Step 500:    (2022-05-15 18:49:51.617935)
    training nat accuracy 80.0%
    training adv accuracy 0.0%
    43.699233262644825 examples per second
Step 600:    (2022-05-15 18:51:29.154613)
    training nat accuracy 70.0%
    training adv accuracy 0.0%
    51.27733520853483 examples per second
Step 700:    (2022-05-15 18:54:19.064083)
    training nat accuracy 88.0%
    training adv accuracy 2.0%
    29.445417952020527 examples per second
Step 800:    (2022-05-15 18:56:12.289117)
    training nat accuracy 66.0%
    training adv accuracy 0.0%
    44.17162139844072 examples per second
Step 900:    (2022-05-15 18:57:51.642347)
    training nat accuracy 76.0%
    training adv accuracy 0.0%
    50.33854264452777 examples per second
Step 1000:    (2022-05-15 19:00:46.152815)
    training nat accuracy 76.0%
    training adv accuracy 2.0%
    28.67074801558529 examples per second
Step 1100:    (2022-05-15 19:02:42.975547)
    training nat accuracy 76.0%
    training adv accuracy 6.0%
    42.840229395930436 examples per second
Step 1200:    (2022-05-15 19:04:19.363944)
    training nat accuracy 86.0%
    training adv accuracy 12.0%
    51.88709731212918 examples per second
Step 1300:    (2022-05-15 19:07:08.694287)
    training nat accuracy 78.0%
    training adv accuracy 2.0%
    29.556272657371537 examples per second
Step 1400:    (2022-05-15 19:08:54.222640)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    47.40027303860313 examples per second
Step 1500:    (2022-05-15 19:10:34.137047)
    training nat accuracy 64.0%
    training adv accuracy 20.0%
    50.05449511018185 examples per second
Step 1600:    (2022-05-15 19:13:26.002495)
    training nat accuracy 74.0%
    training adv accuracy 18.0%
    29.111065546563275 examples per second
Step 1700:    (2022-05-15 19:15:14.403929)
    training nat accuracy 70.0%
    training adv accuracy 18.0%
    46.13730003102691 examples per second
Step 1800:    (2022-05-15 19:16:50.204721)
    training nat accuracy 62.0%
    training adv accuracy 22.0%
    52.2072929006502 examples per second
Step 1900:    (2022-05-15 19:19:37.333136)
    training nat accuracy 62.0%
    training adv accuracy 18.0%
    29.94343025784507 examples per second
Step 2000:    (2022-05-15 19:21:22.984232)
    training nat accuracy 66.0%
    training adv accuracy 22.0%
    47.3446987963553 examples per second
Step 2100:    (2022-05-15 19:22:58.222544)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    52.514428124646955 examples per second
Step 2200:    (2022-05-15 19:25:50.666116)
    training nat accuracy 72.0%
    training adv accuracy 24.0%
    29.03850839711335 examples per second
Step 2300:    (2022-05-15 19:27:38.737858)
    training nat accuracy 74.0%
    training adv accuracy 30.0%
    46.29424827589354 examples per second
Step 2400:    (2022-05-15 19:29:14.489716)
    training nat accuracy 64.0%
    training adv accuracy 2.0%
    52.23309640353198 examples per second
Step 2500:    (2022-05-15 19:32:19.763869)
    training nat accuracy 72.0%
    training adv accuracy 30.0%
    27.00412381141555 examples per second
Step 2600:    (2022-05-15 19:34:14.670166)
    training nat accuracy 84.0%
    training adv accuracy 26.0%
    43.52671049321153 examples per second
Step 2700:    (2022-05-15 19:35:52.415333)
    training nat accuracy 82.0%
    training adv accuracy 38.0%
    51.16804233457501 examples per second
Step 2800:    (2022-05-15 19:38:36.907217)
    training nat accuracy 54.0%
    training adv accuracy 12.0%
    30.423913309836852 examples per second
Step 2900:    (2022-05-15 19:40:28.700241)
    training nat accuracy 82.0%
    training adv accuracy 28.0%
    44.74278602910059 examples per second
Step 3000:    (2022-05-15 19:42:04.820863)
    training nat accuracy 88.0%
    training adv accuracy 28.0%
    52.03356206602954 examples per second
Step 3100:    (2022-05-15 19:45:17.727934)
    training nat accuracy 80.0%
    training adv accuracy 22.0%
    25.94386288619125 examples per second
Step 3200:    (2022-05-15 19:47:08.661358)
    training nat accuracy 76.0%
    training adv accuracy 24.0%
    45.09837588189069 examples per second
Step 3300:    (2022-05-15 19:48:46.494264)
    training nat accuracy 74.0%
    training adv accuracy 22.0%
    51.14697791685955 examples per second
Step 3400:    (2022-05-15 19:51:35.088519)
    training nat accuracy 88.0%
    training adv accuracy 28.0%
    29.67788790633234 examples per second
Step 3500:    (2022-05-15 19:53:26.257488)
    training nat accuracy 76.0%
    training adv accuracy 34.0%
    44.98911842257544 examples per second
Step 3600:    (2022-05-15 19:55:05.305877)
    training nat accuracy 76.0%
    training adv accuracy 22.0%
